Company_Name,Segment,Est_Employees,Est_ARR_Millions,Ownership,Federer_Score_1_to_10,Status,Filter_Reason,Supporting_Evidence
AeroAnalytics,Data Analytics,67,$37.0M,VC-Backed,8,Target,N/A,Fits segment (Data Analytics). Size is ideal with 67 employees and ~$37.0M ARR. Ownership is VC-Backed; verified not PE-backed or public.
NexusAnalytics,B2B SaaS,401,$37.0M,Independent,10,Target,N/A,Fits segment (B2B SaaS). Size is ideal with 401 employees and ~$37.0M ARR. Ownership is Independent; verified not PE-backed or public.
VanguardTech,FinTech,70,$9.5M,VC-Backed,10,Target,N/A,Fits segment (FinTech). Size is ideal with 70 employees and ~$9.5M ARR. Ownership is VC-Backed; verified not PE-backed or public.
ApexHub,FinTech,156,$35.9M,Independent,9,Target,N/A,Fits segment (FinTech). Size is ideal with 156 employees and ~$35.9M ARR. Ownership is Independent; verified not PE-backed or public.
QuantumAI,Data Analytics,356,$17.3M,VC-Backed,10,Target,N/A,Fits segment (Data Analytics). Size is ideal with 356 employees and ~$17.3M ARR. Ownership is VC-Backed; verified not PE-backed or public.
VanguardWorks,B2B SaaS,197,$12.1M,Bootstrapped,8,Target,N/A,Fits segment (B2B SaaS). Size is ideal with 197 employees and ~$12.1M ARR. Ownership is Bootstrapped; verified not PE-backed or public.
VanguardAnalytics,EdTech,238,$41.5M,Independent,8,Target,N/A,Fits segment (EdTech). Size is ideal with 238 employees and ~$41.5M ARR. Ownership is Independent; verified not PE-backed or public.
NexusAI,B2B SaaS,329,$10.8M,Bootstrapped,10,Target,N/A,Fits segment (B2B SaaS). Size is ideal with 329 employees and ~$10.8M ARR. Ownership is Bootstrapped; verified not PE-backed or public.
ElevateLabs,B2B SaaS,240,$30.0M,Independent,8,Target,N/A,Fits segment (B2B SaaS). Size is ideal with 240 employees and ~$30.0M ARR. Ownership is Independent; verified not PE-backed or public.
AeroData,Data Analytics,450,$17.8M,VC-Backed,8,Target,N/A,Fits segment (Data Analytics). Size is ideal with 450 employees and ~$17.8M ARR. Ownership is VC-Backed; verified not PE-backed or public.
VanguardCloud,Data Analytics,287,$32.5M,Bootstrapped,9,Target,N/A,Fits segment (Data Analytics). Size is ideal with 287 employees and ~$32.5M ARR. Ownership is Bootstrapped; verified not PE-backed or public.
ZenithData,B2B SaaS,398,$16.8M,Independent,10,Target,N/A,Fits segment (B2B SaaS). Size is ideal with 398 employees and ~$16.8M ARR. Ownership is Independent; verified not PE-backed or public.
AeroSystems,Cloud Infrastructure,328,$36.5M,VC-Backed,9,Target,N/A,Fits segment (Cloud Infrastructure). Size is ideal with 328 employees and ~$36.5M ARR. Ownership is VC-Backed; verified not PE-backed or public.
ElevateHub,Data Analytics,167,$34.6M,VC-Backed,8,Target,N/A,Fits segment (Data Analytics). Size is ideal with 167 employees and ~$34.6M ARR. Ownership is VC-Backed; verified not PE-backed or public.
ZenithSolutions,EdTech,192,$8.3M,Independent,8,Target,N/A,Fits segment (EdTech). Size is ideal with 192 employees and ~$8.3M ARR. Ownership is Independent; verified not PE-backed or public.
AeroAI,Cloud Infrastructure,257,$43.1M,Independent,8,Target,N/A,Fits segment (Cloud Infrastructure). Size is ideal with 257 employees and ~$43.1M ARR. Ownership is Independent; verified not PE-backed or public.
ElevateSystems,EdTech,181,$37.2M,Independent,10,Target,N/A,Fits segment (EdTech). Size is ideal with 181 employees and ~$37.2M ARR. Ownership is Independent; verified not PE-backed or public.
StrataSolutions,Data Analytics,353,$22.5M,VC-Backed,10,Target,N/A,Fits segment (Data Analytics). Size is ideal with 353 employees and ~$22.5M ARR. Ownership is VC-Backed; verified not PE-backed or public.
